long,lat,id,nombre,anio_de_in,tipo,cantidad,ubicacion,clasificac,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4569375558625,-34.6266557833432,1,LINEA A CARABOBO,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,CARABOBO AV.,Flores,Comuna 7,,
-58.448756694305,-34.6236988551741,2,LINEA A PUAN,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,PUAN,Caballito,Comuna 6,,
-58.4413799144858,-34.6206157214719,3,LINEA A PRIMERA JUNTA,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,ROJAS,Caballito,Comuna 6,,
-58.4363468481694,-34.6181440510074,4,LINEA A ACOYTE,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,ACOYTE AV.,Caballito,Comuna 6,,
-58.4298960766017,-34.6152793067186,5,LINEA A RIO DE JANEIRO,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,RIO DE JANEIRO,Caballito,Comuna 6,,
-58.4208588168438,-34.6115461819103,6,LINEA A CASTRO BARROS,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,3900,,Almagro,Comuna 5,1204,C1204AAQ
-58.4145485238024,-34.6108309992688,7,LINEA A LORIA,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,3400,,Balvanera,Comuna 3,1203,C1203AAS
-58.406393603556,-34.6100349751931,8,LINEA A PLAZA MISERERE,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,JUJUY AV.,Balvanera,Comuna 3,,
-58.4003511527935,-34.6099001564004,9,LINEA A ALBERTI,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,2400,,Balvanera,Comuna 3,1034,C1034ACP
-58.3974732448301,-34.6096812632737,10,LINEA A PASCO,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,2200,,Balvanera,Comuna 3,1034,C1034ACN
-58.3920888339406,-34.6093054491961,11,LINEA A CONGRESO,2011,4U,1,VIA PUBLICA,SUBTE,RIVADAVIA AV.,0,ENTRE RIOS AV.,San Nicolas,Comuna 1,,
-58.3861305424599,-34.6094851005659,12,LINEA A SAENZ PEÃ‘A,2011,4U,1,VIA PUBLICA,SUBTE,DE MAYO AV.,1400,,Monserrat,Comuna 1,1085,C1085ABQ
-58.3833075094173,-34.6092915010964,13,LINEA A LIMA,2011,4U,1,VIA PUBLICA,SUBTE,DE MAYO AV.,1200,,Monserrat,Comuna 1,1085,C1085ABO
-58.376241703579,-34.608802685804,14,LINEA A PIEDRAS,2011,4U,1,VIA PUBLICA,SUBTE,DE MAYO AV.,700,,Monserrat,Comuna 1,1084,C1084AAO
-58.3741949465463,-34.6086655474223,15,LINEA A PERU,2011,4U,1,VIA PUBLICA,SUBTE,DE MAYO AV.,550,,Monserrat,Comuna 1,1084,C1084AAN
-58.4740699930842,-34.5813688526438,16,LINEA B DE LOS INCAS-PARQUE CHAS,2011,4U,1,VIA PUBLICA,SUBTE,TRIUNVIRATO AV.,0,DE LOS INCAS AV.,Parque Chas,Comuna 15,,
-58.4663920813242,-34.5839691825164,17,LINEA B TRONADOR-VILLA ORTUZAR,2011,4U,1,VIA PUBLICA,SUBTE,TRIUNVIRATO AV.,0,TRONADOR,Villa Ortuzar,Comuna 15,,
-58.4553422905879,-34.5870857362935,18,LINEA B F. LACROZE,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,0,"LACROZE, FEDERICO AV.",Chacarita,Comuna 15,,
-58.4474154010112,-34.5920196899806,19,LINEA B DORREGO,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,6100,,Villa Crespo,Comuna 15,1414,C1414AKN
-58.4394260321985,-34.5994288403264,20,LINEA B MALABIA,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,5200,,Villa Crespo,Comuna 15,1414,C1414AJR
-58.4300588340572,-34.6023767282651,21,LINEA B ANGEL GALLARDO,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,4600,,Almagro,Comuna 5,1195,C1195AAR
-58.4102346741665,-34.6041418577267,22,LINEA B CARLOS GARDEL,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,3200,,Balvanera,Comuna 3,1193,C1193AAQ
-58.4053582808798,-34.6046809033863,23,LINEA B PUEYRREDON,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,2800,,Balvanera,Comuna 3,1046,C1046AAS
-58.3980968825965,-34.6046833982243,24,LINEA B PASTEUR,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,2200,,Balvanera,Comuna 3,1045,C1045AAQ
-58.3906925375172,-34.6044325652646,25,LINEA B CALLAO,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,1700,,San Nicolas,Comuna 1,1042,C1042AAP
-58.38640184366,-34.6040944746419,26,LINEA B URUGUAY,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,1400,,San Nicolas,Comuna 1,1043,C1043ABN
-58.3793734475979,-34.6036765332792,27,LINEA B CARLOS PELLEGRINI,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,900,,San Nicolas,Comuna 1,1043,C1043AAV
-58.3737289261198,-34.6033339689672,28,LINEA B FLORIDA,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,500,,San Nicolas,Comuna 1,1043,C1043AAR
-58.3689304151844,-34.6030099714031,29,LINEA B LEANDRO N. ALEM,2011,4U,1,VIA PUBLICA,SUBTE,CORRIENTES AV.,100,,San Nicolas,Comuna 1,1043,C1043AAN
-58.3773598337758,-34.5955978763092,30,LINEA C GRAL SAN MARTIN,2011,4U,1,VIA PUBLICA,SUBTE,SANTA FE AV.,700,,Retiro,Comuna 1,1059,C1059ABN
-58.3790639370422,-34.608999976615,31,LINEA C AV DE MAYO,2011,4U,1,VIA PUBLICA,SUBTE,DE MAYO AV.,900,,Monserrat,Comuna 1,1084,C1084AAQ
-58.3784991043584,-34.6222064189763,32,LINEA C SAN JUAN,2011,4U,1,VIA PUBLICA,SUBTE,SAN JUAN AV.,900,,Constitucion,Comuna 1,1147,C1147AAT
-58.3794834762915,-34.6278604864743,33,LINEA C CONSTITUCION,2011,4U,1,VIA PUBLICA,SUBTE,BRASIL,1100,,Constitucion,Comuna 1,1154,C1154AAR
-58.461961278862,-34.5562682728473,34,LINEA D CONGRESO DE TUCUMAN,2011,4U,1,VIA PUBLICA,SUBTE,CABILDO AV.,2800,,Belgrano,Comuna 13,1428,C1428AAW
-58.4559141694255,-34.5631267781229,35,LINEA D JURAMENTO,2011,4U,1,VIA PUBLICA,SUBTE,CABILDO AV.,2000,,Belgrano,Comuna 13,1428,C1428AAO
-58.452312459711,-34.5662235110414,36,LINEA D JOSE HERNANDEZ,2011,4U,1,VIA PUBLICA,SUBTE,CABILDO AV.,1600,,Colegiales,Comuna 13,1426,C1426ABP
-58.4437846086412,-34.570651548733,37,LINEA D OLLEROS,2011,4U,1,VIA PUBLICA,SUBTE,CABILDO AV.,700,,Colegiales,Comuna 13,1426,C1426AAT
-58.4333313692776,-34.5760865521482,38,LINEA D MINISTRO CARRANZA,2011,4U,1,VIA PUBLICA,SUBTE,SANTA FE AV.,5200,,Palermo,Comuna 14,1425,C1425BIN
-58.4261986177748,-34.5783833308463,39,LINEA D PALERMO,2011,4U,1,VIA PUBLICA,SUBTE,SANTA FE AV.,4600,,Palermo,Comuna 14,1425,C1425BHU
